===== RECEIVED DATA FOR SYMBOL: EURUSD =====
         open      high       low     close    volume  day_of_week      hour    minute       day  timeframe
0    0.028882  0.015216  0.038655  0.028418  0.000157     0.666667  0.000000  0.000000  0.064516       1.00
1    0.260360  0.273531  0.005522  0.033361  0.614442     0.333333  0.000000  0.000000  1.000000       1.00
2    0.300126  0.393489  0.144076  0.254530  0.592716     0.166667  0.000000  0.000000  0.967742       1.00
3    0.286312  0.342887  0.311245  0.322488  0.507057     0.833333  0.000000  0.000000  0.870968       1.00
4    0.223524  0.292994  0.237450  0.322488  0.399707     0.666667  0.000000  0.000000  0.838710       1.00
5    0.252825  0.222930  0.203313  0.197282  0.394018     0.333333  0.000000  0.000000  0.774194       1.00
6    0.360402  0.347841  0.206325  0.253707  0.560749     0.166667  0.000000  0.000000  0.741935       1.00
7    0.085391  0.354919  0.000000  0.338550  0.852223     0.833333  0.000000  0.000000  0.645161       1.00
8    0.028464  0.266100  0.004518  0.075371  1.000000     0.666667  0.000000  0.000000  0.612903       1.00
9    0.611553  0.585987  0.003012  0.020181  0.813370     0.500000  0.000000  0.000000  0.580645       1.00
10   0.694433  0.662067  0.683735  0.605025  0.660982     0.333333  0.000000  0.000000  0.548387       1.00
11   0.587694  0.628450  0.660141  0.686985  0.648684     0.166667  0.000000  0.000000  0.516129       1.00
12   0.509837  0.626681  0.552209  0.652801  0.688591     0.833333  0.000000  0.000000  0.419355       1.00
13   0.621599  0.650035  0.605924  0.501236  0.841899     0.666667  0.000000  0.000000  0.387097       1.00
14   0.763918  0.679759  0.688253  0.622323  0.780338     0.500000  0.000000  0.000000  0.354839       1.00
15   0.872750  0.782378  0.780120  0.752059  0.649665     0.333333  0.000000  0.000000  0.322581       1.00
16   0.882796  0.874381  0.949297  0.860791  0.657036     0.166667  0.000000  0.000000  0.290323       1.00
17   1.000000  1.000000  1.000000  0.919275  0.739766     0.833333  0.000000  0.000000  0.193548       1.00
18   0.682294  0.857749  0.807229  1.000000  0.702898     0.666667  0.000000  0.000000  0.161290       1.00
19   0.681457  0.697098  0.648594  0.681219  0.844949     0.500000  0.000000  0.000000  0.129032       1.00
20   0.028882  0.015216  0.038655  0.028418  0.000157     0.666667  0.000000  0.000000  0.064516       0.75
21   0.016743  0.061925  0.012048  0.033361  0.081084     0.333333  0.869565  0.000000  1.000000       0.75
22   0.203014  0.166667  0.005522  0.019357  0.203346     0.333333  0.695652  0.000000  1.000000       0.75
23   0.309753  0.257962  0.203313  0.199341  0.128386     0.333333  0.521739  0.000000  1.000000       0.75
24   0.248221  0.273531  0.284137  0.304778  0.098393     0.333333  0.347826  0.000000  1.000000       0.75
25   0.282126  0.239561  0.297691  0.244234  0.048585     0.333333  0.173913  0.000000  1.000000       0.75
26   0.260360  0.234253  0.255522  0.277595  0.054589     0.333333  0.000000  0.000000  1.000000       0.75
27   0.207618  0.212668  0.254518  0.254530  0.078397     0.166667  0.869565  0.000000  0.967742       0.75
28   0.182503  0.218330  0.144076  0.204283  0.199315     0.166667  0.695652  0.000000  0.967742       0.75
